"feed__data__message","feed__data__updated_time","feed__data__id","feed__paging__previous","feed__paging__next","id"
"Crimson Dropwing (Trithemis aurora), female\n\nKollamogaru, Western Ghats near Mangalore \n\nDecember 2019","2020-02-22T02:19:32+0000","216593478390203_2782624245120434","","",""
"Yellow-tailed Ashy Skimmer (Potamarcha congener), female\n\nSantalabari, near Buxa Tiger Reserve, West Bengal \n\nNovember 2019","2020-02-22T02:18:02+0000","216593478390203_2795956087120583","","",""
"Black Stream Glider (Trithemis festiva)\n\nKollamogaru, Western Ghats near Mangalore \n\nDecember 2019","2020-02-20T16:27:33+0000","216593478390203_2790026587713533","","",""
"Brown-backed Red Marsh Hawk, (Orthetrum chrysis)\n\nKollamogaru, Western Ghats near Mangalore \n\nDecember 2019","2020-02-20T04:19:43+0000","216593478390203_2792008510848674","","",""
"Black Stream Glider (Trithemis festiva)\n\nThodikana, in the Western Ghats near Mangalore \n\nDecember 2019","2020-02-20T04:17:39+0000","216593478390203_2792000254182833","","",""
"Stream Glory (Neurobasis chinensis)\n\nThodikana, in the Western Ghats near Mangalore \n\nDecember 2019\n\nThanks for the ID, Muhamed Sherif!","2020-02-19T16:47:44+0000","216593478390203_2791167617599430","","",""
"Crimson Dropwing (Trithemis aurora), female\n\nKollamogaru, Western Ghats near Mangalore\n\nDecember 2019","2020-02-19T16:14:04+0000","216593478390203_2790905510958974","","",""
"Scarlet Skimmer (Crocothemis servilia)\n\nKollamogaru, Western Ghats near Mangalore\n\nDecember 2019","2020-02-19T14:55:56+0000","216593478390203_2790887054294153","","",""
"Tandem posture of Saffron-faced Blue Dart... (Male is Right)\n(Pseudagrion rubriceps)\nMayiladuthurai,\nFebruary'20","2020-02-19T10:00:47+0000","216593478390203_2790270751022450","","",""
"","2020-02-19T05:52:20+0000","216593478390203_2790083794374479","","",""
"Crimson Marsh Glider (Trithemis aurora)\n\nThodikana, in the Western Ghats near Mangalore \n\nDecember 2019","2020-02-19T05:43:56+0000","216593478390203_2790028227713369","","",""
"Diplacodes Trivialis \n\nID courtesy Antoine van der Heijden\n\nVarkala, Kollam Dt., Kerala \n\n12 February 2020","2020-02-18T15:18:18+0000","216593478390203_2788861044496754","","",""
"Diplacodes trivialis.....Coimbatore...Feb 20","2020-02-17T18:29:02+0000","216593478390203_2786789018037290","","",""
"Fulvous Forest Skimmer (Neurothemis fulvia),  male\n\nSomeshwar, in the Western Ghats near Mangalore \n\nDecember 2019","2020-02-16T03:26:09+0000","216593478390203_2782537288462463","","",""
"Valentine's Day Spcl...\nAppendages at the abdomen end of male damselflies n dragonflies are designed  to hold females as part of their mating rituals... Using this appendages, males hold  together with females due to presence of holder like structure in the starting of thorax and fly together... This position in Odonates is called 'Tandem'... *to be continued...\nID: Coromandel Marsh Dart/Yellow Waxtail\n(Ceriagrion coromandelianum)\n@Mayiladuthurai, \n2019.","2020-02-13T16:37:55+0000","216593478390203_2778300042219521","","",""
"Senegal Golden Dartlet (heteromorphic female)\n(Ischnura senegalensis)\n@Mayiladuthurai, Tamil Nadu. \nFebruary'20","2020-02-12T17:59:19+0000","216593478390203_2776282482421277","","",""
"Dragonfly\n\nF 5. 6, Iso 100, Shutter speed 1/200.\nCanon 1300D,\nIndia  Maharashtra Pune\n12/2/2020","2020-02-12T13:37:36+0000","216593478390203_2775640685818790","","",""
"request ID please....Palghat...Feb 20","2020-02-10T15:38:28+0000","216593478390203_2771718489544343","","",""
"ID Help Please.. \n\nRusty Darner ( Anaciaeschna sp.)???\n\nDiamond Harbour\nSouth 24 Parganas\nWest Bengal\nFeb, 20","2020-02-09T05:47:44+0000","216593478390203_2768571329859059","","",""
"Id :- Help required\nLocation:- Bihar","2020-01-30T15:37:00+0000","216593478390203_2746276968755162","","",""
"Sharing an image of a Blue Ground Skimmer (Diplacodes trivialis) with an unusual colouration. I have never seen an individual so red/orange. Would love to learn if such a colour/morph has been recorded in this species. Was unable to check the gender, as the individual took off and I was unable it follow it as it blended in with the ground vegetation. Clicked in Kanha Tiger Reserve, Madhya Pradesh on Jan 16, 2020.","2020-01-30T11:25:07+0000","216593478390203_2746888165360709","","",""
"Mysuru outskirts , Karnataka.India.Nov.2019.Id please.","2020-01-30T10:51:13+0000","216593478390203_2746267615422764","","",""
"Ceriagrion cerinorubellum, female, Kaiga, Karnataka, INDIA, Jan 2020","2020-01-29T15:18:06+0000","216593478390203_2743864788996380","","",""
"Potamarcha congener, immature male\n\nThane | Maharashtra | January 2020","2020-01-29T13:26:16+0000","216593478390203_2740597265989799","","",""
"ID Please, Kaiga, Karnataka, INDIA, Jan 2020","2020-01-29T03:09:49+0000","216593478390203_2743857218997137","","",""
"ID Please, Kaiga, Karnataka, INDIA, Jan 2020","2020-01-29T01:53:10+0000","216593478390203_2743854405664085","","",""
"Trithemis aurora - Male\n\nThane .. January 2020","2020-01-26T14:02:51+0000","216593478390203_2738521986197327","","",""
"Ditch Jewe at BNHS CEC, Goregaon, Mumbai, Jan 2020.\n\nNikon D7200, Nikkkor 200-500\n\nYou will enjoy viewing it in full screen mode.","2020-01-25T09:46:56+0000","216593478390203_2735941586455367","","",""
"Ceriagrion coromandelianum (Coromandel Marsh Dart)\n\nSGNP Manpada | Thane | Maharashtra\n\nJanuary 2020","2020-01-24T17:44:38+0000","216593478390203_2734409783275214","","",""
"Neurothemis intermedia\n\nSGNP Manpada | Thane | Maharashtra\n\nJanuary 2020","2020-01-24T15:26:29+0000","216593478390203_2734412653274927","","",""
"#Marathwada & #Jalna people, the workshop is for you! Join in if you haven't yet! So far 64 participants have registered!!!","2020-01-23T11:46:36+0000","216593478390203_2731526533563539","","",""
"ID PLZ\n\nGujarat \n\nSurat","2020-01-23T03:54:29+0000","216593478390203_2730634973652695","","",""
"Agriocnemis pygmaea...Kallar...Jan 20","2020-01-22T18:21:59+0000","216593478390203_2730603003655892","","",""
"Id please.Siddartha Nagar.Mysore.Karnataka.Jan.2020.","2020-01-22T12:53:40+0000","216593478390203_2729648607084665","","",""
"Pocket guide!","2020-01-20T05:20:25+0000","216593478390203_2725440510838808","","",""
"","2020-01-19T15:11:14+0000","216593478390203_2724003890982470","","",""
"Crocothemis servilia, female \n\nID courtesy Antoine van der Heijden\n\nPalakkad, Kerala \n\n15 December 2019","2020-01-14T07:44:36+0000","216593478390203_2654133471302846","","",""
"Id please\nSiddapur, Karnataka, India\nDecember, 2019","2020-01-14T02:55:32+0000","216593478390203_2660669443982582","","",""
"Id please.siddartha nagar Mysuru.Karnataka.Nov,19.","2020-01-14T02:50:44+0000","216593478390203_2686385701410956","","",""
"ID: Orthetrum glaucum immature male\nMount Abu Wildlife Sanctuary, Rajasthan, India\nDecember '19","2020-01-14T02:49:48+0000","216593478390203_2695402593842600","","",""
"**Senegal golden dartlet **(Female, heteromorph) **\n***Ischnura senegalensis, Family: Coenagrionidae*\n\nID: Supratim Laha\n13-Jan-2020\nChennai - Tamil Nadu - INDIA.","2020-01-13T18:57:26+0000","216593478390203_2711934165522776","","",""
"**Senegal golden dartlet (Male)\n***Ischnura senegalensis, Family: Coenagrionidae*\n\nID: Supratim Laha\n13-Jan-2020\nChennai - Tamil Nadu - INDIA.","2020-01-13T18:54:57+0000","216593478390203_2711930148856511","","",""
"Odonate unknowna","2020-01-11T11:56:06+0000","216593478390203_2706743819375144","","",""
"Scientific name : Heliocypha bisignata (Hagen in Selys, 1853)\nCommon name : Stream Ruby\nFamily : Chlorociphidae\nGroup name : Stream Jewels\nStatus : Common\nBreeding Habitats : Streams\nPlace of observation : Coimbatore, Tamil Nadu\nDate of observation : 09/11/2019\n\nMale :-       Abdomen (mm) 20\n                   Hind wings (mm) 24-26\nFemale :-   Abdomen (mm) 16\n                   Hind wings (mm) 22\n\n#CoimbatoreOdonatesSurvey 2019","2020-01-11T11:40:40+0000","216593478390203_2706717992711060","","",""
"Beauty from grasses...\nCOMMON PICTURE WING-female\n(Rhyothemis variegata)\n@Mayiladuturai\nJanuary'20","2020-01-11T06:48:29+0000","216593478390203_2706299352752924","","",""
"Orthetrum glaucum \nID courtesy Amn Kumar\nMonkey Falls, on the Pollachi - Valparai Road, Tamil Nadu \n\n8 January 2020","2020-01-10T23:59:02+0000","216593478390203_2704842939565232","","",""
"Lestes nodalis (F)....Malappuram District...Jun 16..thank you for the ID Noppadon Makbun...","2020-01-08T14:11:45+0000","216593478390203_1030028457046697","","",""
"ID please. Inch long damsel. Sorry for poor IQ.\nAll photos are of the same specimen.\n\n05-Jan-2020\nNellore District - Andhra Pradesh - INDIA.","2020-01-07T17:40:11+0000","216593478390203_2698465993536260","","",""
"**Golden dartlet (** ID: Nagraj Veeraswami )**\n***Ischnura rubilio, Family: [Coenagrionidae*](https://www.indianodonata.org/tx/31-Coenagrionidae)\n\n05-Jan-2020\n\nNellore District - Andhra Pradesh - INDIA.","2020-01-07T08:13:45+0000","216593478390203_2697398500309676","","",""
"Lestes viridulus \n\nSGNP Manpada | Thane | Maharashtra\n\n06.01.2020\n\n2 to 3 indivisuals spotted.","2020-01-07T06:15:05+0000","216593478390203_2696220577094135","","",""
"","2020-01-05T02:50:02+0000","216593478390203_2692560654126794","","",""
"Diplacodes trivialis...the nilgiris...Jan 2020","2020-01-03T15:38:07+0000","216593478390203_2689340494448810","","",""
"Scientific name : Ceriagrion rubiae (Laidlaw,1916)\nCommon names : Orange Wax Tail / Orange Marsh Dart\nFamily : Coenagrionidae\nGroup name : Marsh Darts\nBreeding Habitats : Marshes and ponds\nPlace of observation : Coimbatore, Tamil Nadu\nDate of observation : 09/11/2019\n\nMale :-      Abdomen (mm) 26-29\n                  Hind wings (mm) 17-18\nFemale :-  Abdomen (mm) 30-31\n                  Hind wings (mm) 20\n\n#CoimbatoreOdonatesSurvey","2020-01-03T14:15:47+0000","216593478390203_2689190721130454","","",""
"Dear all, \n\nPurab Chowdhury found more than seventy five Tiny Hooded Dartlets\n\ni.e. Indian Hooded Dartlets (Agriocnemis kalinga) on last Sunday 29.12.19\n\nat Rajarhat birding area, very adjacent to Kolkata in North 24-Parganas,\n\nsouthern West Bengal, eastern India !\n\nMore than seventy five Tiny Hooded Dartlets at a time at a place !\n\nUnbelievable ! Simply unbelievable !\n\nWe were also there at that site on that day !\n\nIt is a newly discovered species and described by Manoj V. Nair &\n\nK. A. Subramanian in 2015 and it's the smallest odonate (13 mm),\n\nmainly available in eastern India and has many variations.\n\n**Congrats** Purab !\n\nCheers ! S.Patra, SundayWatch, 31.12.19, 1.53 p.m.\n\nHere are 3 variations clicked by Purab Chowdhury there on that day :","2020-01-03T06:00:10+0000","216593478390203_2686965944686265","","",""
"Scientific name : Tramea limbata (Desjardins,1832)\nCommon names : Black Marsh Trotter / Black Marsh Glider\nFamily : Libellulidae\nGroup name : Skimmers\nStatus : Common \nBreeding Habitats : Ponds\nPlace of observation : Coimbatore, Tamil Nadu\nDate of observation : 08/11/2019\n\nMale :-      Abdomen (mm) 33-35\n                  Hind wings (mm) 44-46\nFemale :-  Abdomen (mm) 32\n                  Hind wings (mm) 43-46\n\n#CoimbatoreOdonatesSurvey","2019-12-31T00:42:34+0000","216593478390203_2680926841956842","","",""
"Scientific name : Lathrecista asiatica (Fabricius,1798)\nCommon name : Asiatic Bloodtail\nFamily : Libellulidae\nStatus: Common\nGroup name : Skimmers\nBreeding Habitat : Marshes\nPlace of observation : Coimbatore, Tamil Nadu\nDate of observation : 09/11/2019\n\nMale:-     Abdomen (mm)  27-32\n                Hind wings (mm)  33-37\nFemale:- Abdomen (mm) 27-32\n                Hind wings (mm) 34-36\n\n#CoimbatoreOdonatesSurvey","2019-12-30T13:42:53+0000","216593478390203_2679865775396282","","",""
"Ischnura for ID\nKhijadiya Bird Sanctuary, Gujarat\nDecember '19\n\n(I.senegalensis female?)","2019-12-28T12:46:20+0000","216593478390203_2674867895896070","","",""
"Rusty Marsh Dart at Sammilan Shetty's Butterfly Garden, Belvai, Karnataka. Sept. 2019\n Nikon D5300, Nikkor 105mm f/2.8","2019-12-27T06:23:48+0000","216593478390203_2672890639427129","","",""
"Scientific name : Indothemis carnatica (Fabricius, 1798)\nCommon names : Light-tipped Demon / Black Scrub Glider.\nFamily : Libellulidae\nGroup name : Skimmers\nStatus : Rare\nBreeding Habitats : Streams and ponds\nPlace of observation : Coimbatore, Tamil Nadu\nDate of observation : 10/11/2019\n\nMale:-       Abdomen (mm) 25-26\n                  Hind wing (mm) 28-31\nFemale:-  Abdomen (mm) 24\n                  Hind wing (mm) 29\n\n#CoimbatoreOdonatesSurvey","2019-12-27T00:58:55+0000","216593478390203_2672463289469864","","",""
"Scientific name : Pantala flavescens (Fabricius,1798)\nCommon names : Wandering Glider / Globe Skimmer / Global Wanderers\nFamily : Libellulidae\nGroup name : Skimmers\nStatus : Common\nBreeding Habitats : Ponds and temporary pools\nPlace of observation : Coimbatore, Tamil Nadu\nDate of observation : 10/11/2019\n\nMale:-    Abdomen (mm) 29-35\n               Hind wing (mm) 38-40\nFemale:- Abdomen (mm) 30-33\n                Hind wing (mm) 39-41\n\nGlobe skimmers make an annual multigenerational journey of some 18,000 km (about 11,200 miles); to complete the migration, individual globe skimmers fly more than 6,000 km (3,730 miles)—one of the farthest known migrations of all insect species. - Wikipedia\n\n#CoimbatoreOdonatesSurvey","2019-12-26T16:05:39+0000","216593478390203_2671685326214327","","",""
"Mortonagrion aborense\n\nLocation- Tamluk, Purba Medinipur, west bengal","2019-12-26T13:01:22+0000","216593478390203_2671325582916968","","",""
"","2019-12-25T17:11:19+0000","216593478390203_2669585673090959","","",""
"*Neurothemis fulvia* Drury, 1773\n\nFulvous Forest Skimmer.\n\nKali Tiger Reserve, 14.12.2019.","2019-12-25T12:24:48+0000","216593478390203_2669059753143551","","",""
"Scientific name : Pseudagrion rubriceps (Selys,1876)\nCommon name : Saffron-Faced Grass Dart\nFamily : Coenagrionidae\nGroup name : Marsh Darts\nBreeding Habitats : Streams,rivers and lakes\nPlace of observation : Coimbatore, Tamil Nadu\nDate of observation : 09/11/2019\n\nWidely distributed throughout the plains and submontane areas. It breeds in weedy streams and ponds.\n\n#CoimbatoreOdonatesSurvey","2019-12-24T14:19:09+0000","216593478390203_2666981703351356","","",""
"","2019-12-24T03:59:08+0000","216593478390203_2666079670108226","","",""
"Rubytailed Hawklet\nEpithemis marie\n\nAmboli, Dist Sindhudurg, MH, India. 4.10.19","2019-12-22T07:42:04+0000","216593478390203_2662123683837158","","",""
"Stream Rubi - Heliocypha bisignata\nBelthangady Taluk, Mangalore, 8th Dec 2019","2019-12-22T00:56:39+0000","216593478390203_2661052680610925","","",""
"Emrald Spreadwing at Sammilan Shetty's Butterfly Garden, Belvai, Karnataka. Sept. 2019\n Nikon D5300, Nikkor 105 f/2.8","2019-12-21T15:14:26+0000","216593478390203_2660694800646713","","",""
"ID please \n\nKozhikode, Kerala \n\n18 December 2019","2019-12-21T11:12:38+0000","216593478390203_2654166857966174","","",""
"Potamarcha congener (female)\nID courtesy Prasath Selvaraj \nPalakkad, Kerala \n\n15 December 2019","2019-12-21T08:20:52+0000","216593478390203_2654129804636546","","",""
"Ceriagrion olivaceum – Rusty Marsh Dart dragonfly hunting then eaten Agriocnemis species, (18-12-2019), \nLocation: Madurai, TamilNadu, India.\nCamera: Mobile ( Lenovo K8),","2019-12-18T13:55:20+0000","216593478390203_2654127927970067","","",""
"Crocothemis servilia ?\n\nPalakkad, Kerala \n\n15 December 2019","2019-12-18T13:47:57+0000","216593478390203_2653435551372638","","",""
"Neurothemis fulvia (female)\n17 - 12 - 2019\nRaniganj, West Bengal","2019-12-17T05:33:06+0000","216593478390203_2651313531584840","","",""
"ID please\n\n16 December 2019\n\nRajapalayam, Tamilnadu","2019-12-16T20:45:34+0000","216593478390203_2650004711715722","","",""
"ID please\n\n16 December 2019\n\nRajapalayam, Tamilnadu","2019-12-16T17:24:36+0000","216593478390203_2649796718403188","","",""
"La Dame aux Anthurium...Coramandel marsh dart??...the nilgiris...dec 19","2019-12-16T15:32:55+0000","216593478390203_2650080195041507","","",""
"**Female* Rhodothemis rufa*** Rambur, 1842 preying on Apis sp\n\nPurba Medinipur, West Bengal, India, 10.12.2019","2019-12-14T16:19:18+0000","216593478390203_2645823945467132","","",""
"id updated :Orthetrum glaucum, female.\n\nKadma : Bankura : West Bengal \n\nDec 2019","2019-12-13T04:39:26+0000","216593478390203_2637222699660590","","",""
"In  Wheel ; Orthetrum luzonicum\nMeenachil River Odonate Survey\nDec.2019","2019-12-11T17:20:43+0000","216593478390203_2639308039452056","","",""
"right thinkers","2019-12-10T04:15:54+0000","216593478390203_2635875209795339","","",""
"Crocothemis servilia \n\nPalakkad, Kerala \n\n9 December 2019","2019-12-09T14:54:04+0000","216593478390203_2634596146589912","","",""
"Fulvous Forest Skimmer - male\n(Neurothemis fulvia)\n@Thalassery\nSep'19","2019-12-08T16:03:04+0000","216593478390203_2632465146803012","","",""
"So, I and Priyank Kapdi successfully completed a Mentorship program through FB. I ask others interested to join and make use of it. Priyank Kapdi can you please mention your feedback about the program? Was it easy, difficult etc.","2019-12-08T13:02:31+0000","216593478390203_2631991113517082","","",""
"A small piece on Dragonflies: [https://en.gaonconnection.com/there-are-the-dragonflies-and-then-there-are-damsels-next-time-you-visit-a-village-do-bond-with-them/](https://en.gaonconnection.com/there-are-the-dragonflies-and-then-there-are-damsels-next-time-you-visit-a-village-do-bond-with-them/)","2019-12-08T11:43:45+0000","216593478390203_2631986433517550","","",""
"ID please \n\nPalakkad, Kerala \n\n8 December 2019","2019-12-08T10:46:48+0000","216593478390203_2631896200193240","","",""
"I'd please\nNagoa Goa\n1/12/19","2019-12-06T18:22:59+0000","216593478390203_2618543118195215","","",""
"","2019-12-06T14:43:32+0000","216593478390203_2627783457271181","","",""
"ID requested...\n\nJaguli Grassland, Westbengal, India\nNovember 2019.","2019-12-06T10:41:23+0000","216593478390203_2611527505563443","","",""
"Dear all,\n\nWe found at least 21 (twenty one) species of Dragonflies\n\non 24.11.19 at Diara in Hooghly, southern West Bengal,\n\neastern India such as :\n\nCommon Clubtail \n\nBlue-tailed Green Darner\n\nRufous-backed Marsh Hawk\n\nUnidentified Brachydiplax species\n\nDitch Jewel\n\nRuddy Marsh Skimmer\n\nBlue Ground Skimmer\n\nEstuarine Skimmer\n\nGreen Marsh Hawk\n\nWandering Glider\n\nCommon Picture Wing\n\nBlack Marsh Trotter\n\nRed Marsh Trotter\n\nLong-legged Marsh Glider\n\nBrown Dusk Hawk\n\nPygmy Dartlet\n\nOrange-tailed Marsh Dart\n\nCoromandel Marsh Dart\n\nWestern Golden Dartlet (Ischnura rubilio)\n\nSenegal Golden Dartlet\n\nMalay Lily Squatter (Paracercion malayanum)\n\n[ Checklist has mainly been prepared by Purab Chowdhury ]\n\nCheers !  S.Patra,  SundayWatch,  4.12.19,  8.07 p.m.\n\nHere is an adult male Ruddy Marsh Skimmer\n\nnicely clicked by Debashis Chowdhury there on that day :","2019-12-06T09:54:39+0000","216593478390203_2627254567324070","","",""
"I'd please\nNagoa Goa\n1/12/19","2019-12-05T00:40:58+0000","216593478390203_2618540684862125","","",""
"ID please\n\n4 december 2019\n\nRajapalayam, tamilnadu","2019-12-04T17:16:51+0000","216593478390203_2623410647708462","","",""
"ID please \nNarur, Karnataka \nDecember 2019","2019-12-03T13:46:21+0000","216593478390203_2620415804674613","","",""
"I'd please\nNagoa Goa\n1/12/19","2019-12-03T02:38:54+0000","216593478390203_2618541474862046","","",""
"I'd please\nNagoa Goa\n1/12/19","2019-12-02T22:19:52+0000","216593478390203_2618542261528634","","",""
"Niligiri Clawtail-Onychogomphus nilgiriensis","2019-12-02T17:47:54+0000","216593478390203_219684251414459","","",""
"Onychogomphus sp......the nilgiris...jul 19","2019-12-02T14:57:51+0000","216593478390203_2355311397851723","","",""
"","2019-12-02T14:48:38+0000","216593478390203_221072714608946","","",""
"ID please\n\n25 november 2019\n\nAnairangal kerala","2019-12-02T06:33:13+0000","216593478390203_2601198286596365","","",""
"At Giribetta lake.Mysuru.Karnataka.Id please.","2019-12-02T05:57:16+0000","216593478390203_2617006495015544","","",""
"","2019-12-01T17:09:39+0000","216593478390203_2616105721772288","","",""
"I'd please\nPorvorim Goa\n1/12/19","2019-12-01T14:11:38+0000","216593478390203_2615688958480631","","",""
"","2019-12-01T10:48:39+0000","216593478390203_2615412958508231","","",""
"Identified as Crimson-tailed Marsh Hawk\n\nLocation: Forest Track, Karimganj District, Assam\n\nDate: 17th November 2018\n\nEquipment: Nikon D800 with Nikkor 300mm f2.8 VRII","2019-12-01T10:19:12+0000","216593478390203_2614990461883814","","",""
"Id please ?\nNovember 2019\nBhopalpatnam Chhattisgarh !!","2019-11-29T16:51:25+0000","216593478390203_2610959018953625","","",""
"Identified as Brachythemis contaminata\n\nLocation: Forest Track, Karimganj District, Assam\n\nDate: 17th November 2019","2019-11-29T13:37:00+0000","216593478390203_2607734422609418","","",""
"*Gynacantha *sp. female (ID requested)\n\n29-11-2019 | Andal, West Bengal","2019-11-29T13:16:43+0000","216593478390203_2610104649039062","","",""
"Id please ?\nNovember 2019\nBhopalpatnam Chhattisgarh !!","2019-11-29T12:52:00+0000","216593478390203_2610958238953703","","",""
"Identified as: Blue Marsh Hawk Orthetrum glaucum. Virajapete, Kodagu (Coorg). Karnataka. November 2019. ID courtesy: Aaratrik Pal","2019-11-29T07:51:00+0000","216593478390203_2605733432809517","","",""
"Ictinogomphus rapax - male\n\nLocation: Forest Track, Karimganj District, Assam\n\nDate: 17th November 2019","2019-11-29T06:59:25+0000","216593478390203_2608798709169656","","",""
"Diplacodes lefebvrii  BLACK GROUND SKIMMER, Mysuru, Karnataka, India. Nov 2019. (Photo: Kashyap R). ID Courtesy: Antoine van der Heijden & Shantanu Joshi","2019-11-28T12:56:13+0000","216593478390203_2605657786150415","","",""
"ID request please\n\nLocation: Forest Track, Karimganj District, Assam\n\nDate: 17th November 2019","2019-11-28T06:40:13+0000","216593478390203_2607892429260284","","",""
"ID request please\n\nLocation: Forest Track, Karimganj District, Assam\n\nDate: 17th November 2019","2019-11-28T05:51:07+0000","216593478390203_2607928059256721","","",""
"Identified as Trithemis pallidinervis\n\nLocation: Forest Track, Karimganj District, Assam\n\nDate: 17th November 2019","2019-11-28T02:09:36+0000","216593478390203_2607740365942157","","",""
"Identified as: Agriocnemis pygmea female PIGMY DARTLET, Mysuru, Karnataka, India. Nov 2019. (Photo: Kashyap R). ID courtesy: Dattaprasad Sawant","2019-11-27T11:10:14+0000","216593478390203_2605654276150766","","",""
"Identified as: Lathrecista asiaticaASIATIC BLOODTAIL , Mysuru, Karnataka, India. Nov 2019. (Photo: Kashyap R)","2019-11-27T06:58:12+0000","216593478390203_2605655482817312","","",""
"Identified as: Tramea limbata BLACK MARSH TROTTER. Huliyurudurga, Tumakuru Dt, Karnataka. Nov 2019.","2019-11-27T05:40:16+0000","216593478390203_2605673969482130","","",""
"Identified as: Crocothemis servilia *Male* RUDDY or SCARLET MARSH SKIMMER, Mysuru, Karnataka, India. Nov 2019. (Photo: Kashyap R)","2019-11-27T05:24:37+0000","216593478390203_2605651269484400","","",""
